CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments
15465,1811,1,"11,7",1,1,1,3,Low-Value,Lost
15466,801,2,"70,65",3,1,1,5,Low-Value,At Risk Customers
15467,735,3,"272,95",3,1,1,5,Low-Value,At Risk Customers
15468,11,5,"325,8",5,1,1,7,Mid-Value,Potential Loyalists
15469,959,3,"101,55",3,1,1,5,Low-Value,At Risk Customers
15470,916,2,"42,5",3,1,1,5,Low-Value,At Risk Customers
15472,124,3,"345,15",5,1,1,7,Mid-Value,Potential Loyalists
15474,567,1,"5,4",4,1,1,6,Mid-Value,Potential Loyalists
15475,1705,1,"45,6",1,1,1,3,Low-Value,Lost
15478,1797,1,"22,0",1,1,1,3,Low-Value,Lost
15479,52,9,"642,5",5,2,1,8,High-Value,Potential Loyalists
15480,18,3,"105,35",5,1,1,7,Mid-Value,Potential Loyalists
15481,555,3,"125,94",4,1,1,6,Mid-Value,Potential Loyalists
15482,76,3,"45,95",5,1,1,7,Mid-Value,Potential Loyalists
15483,417,4,"505,55",4,1,1,6,Mid-Value,Potential Loyalists
15484,698,2,"48,75",4,1,1,6,Mid-Value,Potential Loyalists
15487,362,3,"82,7",5,1,1,7,Mid-Value,Potential Loyalists
15490,1313,1,"813,1500000000001",2,1,2,5,Low-Value,At Risk Customers
15493,421,2,"32,1",4,1,1,6,Mid-Value,Potential Loyalists
15495,1198,14,"777,85",2,3,2,7,Mid-Value,Potential Loyalists
15496,122,4,"140,55",5,1,1,7,Mid-Value,Potential Loyalists
15497,1070,1,"30,65",3,1,1,5,Low-Value,At Risk Customers
15499,135,6,"511,0",5,1,1,7,Mid-Value,Potential Loyalists
15500,29,3,"129,5",5,1,1,7,Mid-Value,Potential Loyalists
15501,444,2,"36,75",4,1,1,6,Mid-Value,Potential Loyalists
15502,60,8,"816,3499999999999",5,2,2,9,High-Value,Champions
15503,868,1,"117,1",3,1,1,5,Low-Value,At Risk Customers
15505,368,3,"247,85",4,1,1,6,Mid-Value,Potential Loyalists
15506,243,1,"35,099999999999994",5,1,1,7,Mid-Value,Potential Loyalists
15508,701,3,"211,95",4,1,1,6,Mid-Value,Potential Loyalists
15509,133,5,"359,1",5,1,1,7,Mid-Value,Potential Loyalists
15510,548,1,"206,0",4,1,1,6,Mid-Value,Potential Loyalists
15511,375,2,"36,650000000000006",4,1,1,6,Mid-Value,Potential Loyalists
15512,796,8,"750,05",3,2,2,7,Mid-Value,Potential Loyalists
15513,874,3,"31,450000000000003",3,1,1,5,Low-Value,At Risk Customers
15514,759,3,"149,5",3,1,1,5,Low-Value,At Risk Customers
15515,421,4,"296,2",4,1,1,6,Mid-Value,Potential Loyalists
15517,608,1,"3,25",4,1,1,6,Mid-Value,Potential Loyalists
15518,819,6,"453,05",3,1,1,5,Low-Value,At Risk Customers
15520,89,5,"232,05",5,1,1,7,Mid-Value,Potential Loyalists
15521,334,3,"224,3",5,1,1,7,Mid-Value,Potential Loyalists
15523,1232,1,"22,65",2,1,1,4,Low-Value,Can't Lose
15525,1530,3,"153,10000000000002",1,1,1,3,Low-Value,Lost
15527,105,2,"76,55",5,1,1,7,Mid-Value,Potential Loyalists
15529,808,2,"61,55",3,1,1,5,Low-Value,At Risk Customers
15533,1292,5,"270,35",2,1,1,4,Low-Value,Can't Lose
15535,643,3,"263,0",4,1,1,6,Mid-Value,Potential Loyalists
15536,47,1,"49,95",5,1,1,7,Mid-Value,Potential Loyalists
15537,968,1,"226,9",3,1,1,5,Low-Value,At Risk Customers
15538,965,1,"96,9",3,1,1,5,Low-Value,At Risk Customers
15543,708,1,"44,25",4,1,1,6,Mid-Value,Potential Loyalists
15544,1115,4,"220,25",2,1,1,4,Low-Value,Can't Lose
15545,342,1,"32,5",5,1,1,7,Mid-Value,Potential Loyalists
15546,550,5,"281,95",4,1,1,6,Mid-Value,Potential Loyalists
15547,1701,1,"12,8",1,1,1,3,Low-Value,Lost
15549,384,4,"121,05000000000001",4,1,1,6,Mid-Value,Potential Loyalists
15550,1628,1,"84,3",1,1,1,3,Low-Value,Lost
15551,1698,1,"47,05",1,1,1,3,Low-Value,Lost
15552,531,2,"20,95",4,1,1,6,Mid-Value,Potential Loyalists
15557,122,3,"196,05",5,1,1,7,Mid-Value,Potential Loyalists
15558,1603,1,"68,55000000000001",1,1,1,3,Low-Value,Lost
15560,844,1,"19,5",3,1,1,5,Low-Value,At Risk Customers
15563,230,2,"49,2",5,1,1,7,Mid-Value,Potential Loyalists
15564,405,7,"419,40000000000003",4,2,1,7,Mid-Value,Potential Loyalists
15565,89,2,"62,55",5,1,1,7,Mid-Value,Potential Loyalists
15567,654,7,"417,0",4,2,1,7,Mid-Value,Potential Loyalists
15568,706,1,"27,1",4,1,1,6,Mid-Value,Potential Loyalists
15570,490,4,"168,75",4,1,1,6,Mid-Value,Potential Loyalists
15575,200,1,"1,5",5,1,1,7,Mid-Value,Potential Loyalists
15576,25,3,"534,9",5,1,1,7,Mid-Value,Potential Loyalists
15577,3,9,"584,45",5,2,1,8,High-Value,Potential Loyalists
15578,397,3,"74,35",4,1,1,6,Mid-Value,Potential Loyalists
15580,391,7,"419,35",4,2,1,7,Mid-Value,Potential Loyalists
15581,5,10,"527,75",5,2,1,8,High-Value,Potential Loyalists
15582,1650,1,"36,9",1,1,1,3,Low-Value,Lost
15583,179,4,"205,5",5,1,1,7,Mid-Value,Potential Loyalists
15584,122,1,"35,099999999999994",5,1,1,7,Mid-Value,Potential Loyalists
15587,1593,1,"15,15",1,1,1,3,Low-Value,Lost
15588,32,3,"230,79999999999998",5,1,1,7,Mid-Value,Potential Loyalists
15589,772,5,"252,1",3,1,1,5,Low-Value,At Risk Customers
15590,1021,2,"62,2",3,1,1,5,Low-Value,At Risk Customers
15593,496,3,"102,94999999999999",4,1,1,6,Mid-Value,Potential Loyalists
15595,855,1,"1,5",3,1,1,5,Low-Value,At Risk Customers
15596,584,4,"372,2",4,1,1,6,Mid-Value,Potential Loyalists
15597,28,5,"398,34999999999997",5,1,1,7,Mid-Value,Potential Loyalists
15598,536,4,"448,09999999999997",4,1,1,6,Mid-Value,Potential Loyalists
15599,299,3,"68,5",5,1,1,7,Mid-Value,Potential Loyalists
15601,84,5,"197,25",5,1,1,7,Mid-Value,Potential Loyalists
15602,122,3,"71,35",5,1,1,7,Mid-Value,Potential Loyalists
15604,1508,1,"17,5",1,1,1,3,Low-Value,Lost
15605,1576,2,"97,15",1,1,1,3,Low-Value,Lost
15606,612,1,"72,6",4,1,1,6,Mid-Value,Potential Loyalists
15607,1219,1,"24,4",2,1,1,4,Low-Value,Can't Lose
15608,885,3,"501,85",3,1,1,5,Low-Value,At Risk Customers
15609,1132,1,"54,2",2,1,1,4,Low-Value,Can't Lose
15610,1605,4,"164,15",1,1,1,3,Low-Value,Lost
15612,368,5,"149,0",4,1,1,6,Mid-Value,Potential Loyalists
15613,946,2,"90,9",3,1,1,5,Low-Value,At Risk Customers
15617,49,6,"314,45",5,1,1,7,Mid-Value,Potential Loyalists
15619,1415,1,"32,15",2,1,1,4,Low-Value,Can't Lose
15620,91,8,"371,8",5,2,1,8,High-Value,Potential Loyalists
15622,22,5,"237,25",5,1,1,7,Mid-Value,Potential Loyalists
15624,619,1,"10,0",4,1,1,6,Mid-Value,Potential Loyalists
15625,1051,1,"44,400000000000006",3,1,1,5,Low-Value,At Risk Customers
15626,707,2,"42,65",4,1,1,6,Mid-Value,Potential Loyalists
15629,412,8,"640,15",4,2,1,7,Mid-Value,Potential Loyalists
15631,595,5,"164,6",4,1,1,6,Mid-Value,Potential Loyalists
15632,136,2,"91,15",5,1,1,7,Mid-Value,Potential Loyalists
15633,752,10,"1046,15",3,2,2,7,Mid-Value,Potential Loyalists
15634,451,2,"125,44999999999999",4,1,1,6,Mid-Value,Potential Loyalists
15636,607,6,"411,15",4,1,1,6,Mid-Value,Potential Loyalists
15637,24,2,"298,95",5,1,1,7,Mid-Value,Potential Loyalists
15640,78,7,"654,6",5,2,1,8,High-Value,Potential Loyalists
15641,1106,1,"68,6",2,1,1,4,Low-Value,Can't Lose
15642,160,3,"34,5",5,1,1,7,Mid-Value,Potential Loyalists
15645,204,5,"137,9",5,1,1,7,Mid-Value,Potential Loyalists
15648,1237,5,"629,4",2,1,1,4,Low-Value,Can't Lose
15649,1085,1,"19,55",3,1,1,5,Low-Value,At Risk Customers
15651,29,5,"361,85",5,1,1,7,Mid-Value,Potential Loyalists
15652,7,6,"649,9",5,1,1,7,Mid-Value,Potential Loyalists
15653,657,2,"38,8",4,1,1,6,Mid-Value,Potential Loyalists
15654,530,4,"108,0",4,1,1,6,Mid-Value,Potential Loyalists
15655,444,5,"400,6",4,1,1,6,Mid-Value,Potential Loyalists
15656,86,2,"249,04999999999998",5,1,1,7,Mid-Value,Potential Loyalists
15657,14,8,"498,0",5,2,1,8,High-Value,Potential Loyalists
15658,35,8,"342,7",5,2,1,8,High-Value,Potential Loyalists
15660,574,3,"132,8",4,1,1,6,Mid-Value,Potential Loyalists
15664,477,5,"178,25000000000003",4,1,1,6,Mid-Value,Potential Loyalists
15665,11,2,"48,95",5,1,1,7,Mid-Value,Potential Loyalists
15667,712,2,"36,0",4,1,1,6,Mid-Value,Potential Loyalists
15668,323,3,"69,35000000000001",5,1,1,7,Mid-Value,Potential Loyalists
15671,1349,2,"69,2",2,1,1,4,Low-Value,Can't Lose
15674,68,4,"87,55",5,1,1,7,Mid-Value,Potential Loyalists
15675,1672,1,"8,0",1,1,1,3,Low-Value,Lost
15678,940,2,"182,2",3,1,1,5,Low-Value,At Risk Customers
15680,102,3,"266,29999999999995",5,1,1,7,Mid-Value,Potential Loyalists
15682,877,2,"67,35000000000001",3,1,1,5,Low-Value,At Risk Customers
15686,76,15,"639,35",5,3,1,9,High-Value,Champions
15687,5,7,"336,65",5,2,1,8,High-Value,Potential Loyalists
15688,781,5,"409,2",3,1,1,5,Low-Value,At Risk Customers
15689,1082,1,"146,3",3,1,1,5,Low-Value,At Risk Customers
15690,1665,1,"5,5",1,1,1,3,Low-Value,Lost
15691,9,3,"329,7",5,1,1,7,Mid-Value,Potential Loyalists
15692,877,3,"442,5",3,1,1,5,Low-Value,At Risk Customers
15693,21,8,"497,95",5,2,1,8,High-Value,Potential Loyalists
15695,535,3,"70,75",4,1,1,6,Mid-Value,Potential Loyalists
15697,84,17,"1292,8",5,4,2,11,High-Value,Champions
15698,679,2,"63,75",4,1,1,6,Mid-Value,Potential Loyalists
15699,602,2,"154,45000000000002",4,1,1,6,Mid-Value,Potential Loyalists
15701,291,1,"16,2",5,1,1,7,Mid-Value,Potential Loyalists
15702,151,1,"77,2",5,1,1,7,Mid-Value,Potential Loyalists
15704,379,9,"451,8",4,2,1,7,Mid-Value,Potential Loyalists
15705,232,2,"103,80000000000001",5,1,1,7,Mid-Value,Potential Loyalists
15706,1146,4,"253,45",2,1,1,4,Low-Value,Can't Lose
15707,262,7,"470,0",5,2,1,8,High-Value,Potential Loyalists
15710,4,4,"199,29999999999998",5,1,1,7,Mid-Value,Potential Loyalists
15711,360,1,"64,5",5,1,1,7,Mid-Value,Potential Loyalists
15712,11,2,"81,85",5,1,1,7,Mid-Value,Potential Loyalists
15713,1290,1,"57,5",2,1,1,4,Low-Value,Can't Lose
15715,357,1,"16,55",5,1,1,7,Mid-Value,Potential Loyalists
15716,873,4,"303,5",3,1,1,5,Low-Value,At Risk Customers
